Abbrev,Rxn_Name,Equation,Subsystem,Gene(s),References
5AOPt2,5-Aminolevulinate transport in via proton symport,5aop[e] + h[e] --> 5aop[c] + h[c],"Transport, Extracellular",NA,
5AOPtm,5-Aminolevulinate mitochondrial transport,5aop[c] <==> 5aop[m],"Transport, Mitochondrial",NA,
6PGLter,"6-phospho-D-glucono-1,5-lactone endoplasmic reticular transport via diffusion",6pgl[c] <==> 6pgl[r],"Transport, Endoplasmic Reticular",NA,
AASAD1,L-aminoadipate-semialdehyde dehydrogenase (NADPH),[c] : L2aadp + atp + h + nadph --> L2aadp6sa + amp + nadp + ppi,Threonine and Lysine Metabolism,PAS_chr1-4_0153,
AASAD2,L-aminoadipate-semialdehyde dehydrogenase (NADH),[c] : L2aadp + atp + h + nadh --> L2aadp6sa + amp + nad + ppi,Threonine and Lysine Metabolism,PAS_chr1-4_0153,
AATA,2-aminoadipate transaminase,[c] : 2oxoadp + glu-L <==> L2aadp + akg,Threonine and Lysine Metabolism,NA,
ABTA,4-aminobutyrate transaminase,[c] : 4abut + akg --> glu-L + sucsal,Glutamate metabolism,"PAS_chr4_0677, PAS_chr2-1_0107",
ABTt,L-arabinitol transport via passive diffusion,abt[e] <==> abt[c],"Transport, Extracellular",NA,
ABUTDm,"Aminobutyraldehyde dehydrogenase, mitochondrial",[m] : 4abutn + h2o + nad --> 4abut + (2) h + nadh,Other Amino Acid Metabolism,"PAS_chr2-1_0506, PAS_chr3_0987, PAS_chr4_0043, PAS_chr4_0470",
ABUTt2r,4-aminobutyrate reversible transport in via proton symport,4abut[e] + h[e] <==> 4abut[c] + h[c],"Transport, Extracellular","PAS_chr2-1_0129, PAS_chr3_0511",
ACACT1,acetyl-CoA C-acetyltransferase,[c] : (2) accoa --> aacoa + coa,Fatty Acid  Biosynthesis,PAS_chr1-4_0304,
ACACT1m,"acetyl-CoA C-acetyltransferase, mitochondrial",[m] : (2) accoa --> aacoa + coa,Fatty Acid  Biosynthesis,PAS_chr1-4_0304,
ACACT4p,"acetyl-CoA C-acetyltransferase (octanoyl-CoA), peroxisomal",[x] : 3odcoa + coa --> accoa + occoa,Fatty Acid Degradation,PAS_chr2-2_0267,
ACACT5p,"acetyl-CoA C-acyltransferase (decanoyl-CoA), peroxisomal",[x] : 3oddcoa + coa --> accoa + dcacoa,Fatty Acid Degradation,PAS_chr2-2_0267,
ACACT6p,"acetyl-CoA C-acetyltransferase (dodecanoyl), peroxisomal",[x] : 3otdcoa + coa --> accoa + ddcacoa,Fatty Acid Degradation,PAS_chr2-2_0267,
ACACT7p,"acetyl-CoA acyltransferase (tetradecanoyl-CoA), peroxisomal",[x] : 3ohdcoa + coa --> accoa + tdcoa,Fatty Acid Degradation,PAS_chr2-2_0267,
ACACT8p,"acetyl-CoA acyltransferase (hexadecanoyl-CoA), peroxisomal",[x] : 3ohodcoa + coa --> accoa + pmtcoa,Fatty Acid Degradation,PAS_chr2-2_0267,
ACACT9p,"acetyl-CoA acyltransferase (tetracosanoyl-CoA), peroxisomal",[x] : 3ohxccoa + coa --> accoa + ttccoa,Fatty Acid Degradation,PAS_chr2-2_0267,
ACALDCD,Acetaldehyde condensation,[c] : (2) acald --> actn-R,Alternate Carbon Metabolism,PAS_chr3_0188,
ACALDt,acetaldehyde reversible transport,acald[e] <==> acald[c],"Transport, Extracellular",NA,
ACALDtm,acetaldehyde mitochondrial diffusion,acald[m] <==> acald[c],"Transport, Mitochondrial",NA,
ACCOACr,"acetyl-CoA carboxylase, reversible reaction",[c] : accoa + atp + hco3 <==> adp + h + malcoa + pi,Fatty Acid  Biosynthesis,PAS_chr1-4_0249,
ACCOACrm,"Acetyl-Coa carboxylase, mitochondrial",[m] : accoa + atp + hco3 <==> adp + h + malcoa + pi,Fatty Acid  Biosynthesis,PAS_chr1-4_0249,
ACGAM6PS,N-acetylglucosamine-6-phosphate synthase,[c] : accoa + gam6p <==> acgam6p + coa + h,Glutamate metabolism,PAS_chr4_0060,
ACGAMPM,phosphoacetylglucosamine mutase,[c] : acgam6p <==> acgam1p,Glutamate metabolism,PAS_chr1-1_0067,
ACGKm,"acetylglutamate kinase, mitochondrial",[m] : acglu + atp --> acg5p + adp,Arginine and Proline Metabolism,PAS_chr2-1_0168,
ACGSm,"N-acteylglutamate synthase, mitochondrial",[m] : accoa + glu-L --> acglu + coa + h,Arginine and Proline Metabolism,"PAS_chr1-4_0215, PAS_chr3_0176",
ACHBSm,"2-aceto-2-hydroxybutanoate synthase, mitochondrial",[m] : 2obut + h + pyr --> 2ahbut + co2,"Valine, Leucine, and Isoleucine Metabolism",PAS_chr4_0228+PAS_chr2-1_0864,
ACHLE1,Isoamyl acetate-hydrolyzing esterase,[c] : h2o + iamac --> ac + h + iamoh,Complex Alcohol Metabolism,PAS_chr4_0922,
ACHLE2,Isobutyl acetate-hydrolyzing esterase,[c] : h2o + ibutac --> ac + h + ibutoh,Complex Alcohol Metabolism,PAS_chr4_0922,
ACHLE3,Ethyl acetate-hydrolyzing esterase,[c] : aces + h2o --> ac + etoh + h,Complex Alcohol Metabolism,PAS_chr4_0922,
ACLSm,"acetolactate synthase, mitochondrial",[m] : h + (2) pyr --> alac-S + co2,"Valine, Leucine, and Isoleucine Metabolism",PAS_chr4_0228+PAS_chr2-1_0864,
ACOAHim,"acetyl-CoA hydrolase, mitochondrial (irreversible)",[m] : accoa + h2o --> ac + coa + h,Pyruvate Metabolism,PAS_chr3_0253,
ACOAO4p,"acyl-CoA oxidase (decanoyl-CoA), peroxisomal",[x] : dcacoa + o2 --> dc2coa + h2o2,Fatty Acid Degradation,PAS_chr1-4_0538,
ACOAO5p,"acyl-CoA oxidase (dodecanoyl-CoA), peroxisomal",[x] : ddcacoa + o2 --> dd2coa + h2o2,Fatty Acid Degradation,PAS_chr1-4_0538,
ACOAO6p,"acyl-CpA oxidase (tetradecanoyl-CoA), peroxisomal",[x] : o2 + tdcoa --> h2o2 + td2coa,Fatty Acid Degradation,PAS_chr1-4_0538,
ACOAO7p,"acyl-CoA oxidase (hexadecanoyl-CoA), peroxisomal",[x] : o2 + pmtcoa --> h2o2 + hdd2coa,Fatty Acid Degradation,PAS_chr1-4_0538,
ACOAO8p,"acyl-CoA oxidase (octadecanoyl-CoA), peroxisomal",[x] : o2 + stcoa --> h2o2 + od2coa,Fatty Acid Degradation,PAS_chr1-4_0538,
ACOAO9p,"acyl-CoA oxidase (hexacanoyl-CoA), peroxisomal",[x] : hexccoa + o2 --> h2o2 + hxc2coa,Fatty Acid Degradation,PAS_chr1-4_0538,
ACOATA,Acetyl-CoA ACP transacylase,[c] : ACP + accoa <==> acACP + coa,Fatty Acid  Biosynthesis,PAS_chr1-1_0008+PAS_chr1-4_0295,
ACOATAm,Acetyl-CoA ACP transacylase,[m] : ACP + accoa <==> acACP + coa,Fatty Acid  Biosynthesis,"PAS_chr3_0631, PAS_chr3_1119, PAS_chr2-1_0856, PAS_chr2-1_0224, PAS_chr4_0311, PAS_chr4_0511",
ACON3MT,trans-aconitate 3-methyltransferase,[c] : acon-T + amet --> acon5m + ahcys,Other,PAS_chr3_0330,
ACONT,aconitase,[c] : cit <==> icit,Citric Acid Cycle,PAS_chr1-3_0104,
ACONTm,Aconitate hydratase,[m] : cit <==> icit,Citric Acid Cycle,"PAS_chr1-3_0104, PAS_chr3_0659",
ACOTAim,"acteylornithine transaminase, irreversible, mitochondrial",[m] : acg5sa + glu-L --> acorn + akg,Arginine and Proline Metabolism,PAS_chr4_0645,
ACP1e,"acid phosphatase, extracellular (secreted)",[e] : fmn + h2o --> pi + ribflv,Riboflavin Metabolism,PAS_chr2-1_0103,
ACPtm,"Acyl carrier protein transport, mitochondrial",ACP[m] <==> ACP[c],"Transport, Mitochondrial",NA,
ACRNtm,O-acetylcarnintine transport into mitochondria via diffusion,acrn[c] --> acrn[m],"Transport, Mitochondrial",NA,
ACS,acetyl-CoA synthetase,[c] : ac + atp + coa --> accoa + amp + ppi,Pyruvate Metabolism,PAS_chr3_0403,
ACSm,acetyl-CoA synthetase,[m] : ac + atp + coa --> accoa + amp + ppi,Pyruvate Metabolism,PAS_chr2-1_0767,
ACSp,acetyl-CoA synthetase,[x] : ac + atp + coa --> accoa + amp + ppi,Pyruvate Metabolism,PAS_chr2-1_0767,
ACt2r,acetate reversible transport via proton symport,ac[e] + h[e] <==> ac[c] + h[c],"Transport, Extracellular",PAS_chr3_0606,
ACtm,"acetate transport, mitochondrial",ac[c] <==> ac[m],"Transport, Mitochondrial",NA,
ACtr,acetate transporter,ac[e] <==> ac[c],"Transport, Extracellular",PAS_chr1-1_0418,
ADCL,4-aminobenzoate synthase,[c] : 4adcho --> 4abz + h + pyr,Folate Metabolism,PAS_chr4_0940,
ADCS,4-amino-4-deoxychorismate synthase,[c] : chor + gln-L --> 4adcho + glu-L,Folate Metabolism,PAS_chr2-2_0075,
ADEt2,adenine transport in via proton symport,ade[e] + h[e] --> ade[c] + h[c],"Transport, Extracellular","PAS_chr1-3_0153, PAS_chr4_0514",
ADHAPR_PP,"acyldihydroxyacetonephosphate reductase, yeast-specific",[c] : 1agly3p_PP + h + nadph --> 1ag3p_PP + nadp,Phospholipid Biosynthesis,PAS_chr2-2_0063,
ADK1,adenylate kinase,[c] : amp + atp <==> (2) adp,Nucleotide Salvage Pathway,PAS_chr3_0257,
ADK1m,"adenylate kinase, mitochondrial",[m] : amp + atp <==> (2) adp,Nucleotide Salvage Pathway,PAS_chr2-1_0111,
ADK3,adentylate kinase (GTP),[c] : amp + gtp <==> adp + gdp,Nucleotide Salvage Pathway,PAS_chr3_0257,
ADK3m,adentylate kinase (GTP),[m] : amp + gtp <==> adp + gdp,Nucleotide Salvage Pathway,PAS_chr2-1_0111,
ADK4,adentylate kinase (ITP),[c] : amp + itp <==> adp + idp,Nucleotide Salvage Pathway,PAS_chr3_0257,
ADK4m,"adentylate kinase (ITP), mitochondrial",[m] : amp + itp <==> adp + idp,Nucleotide Salvage Pathway,PAS_chr2-1_0111,
ADMDC,adenosylmethionine decarboxylase,[c] : amet + h --> ametam + co2,Methionine Metabolism,PAS_chr2-1_0202,
ADNCYC,adenylate cyclase,[c] : atp --> camp + ppi,Purine and Pyrimidine Biosynthesis,PAS_chr4_0356,
ADNK1,adenosine kinase,[c] : adn + atp --> adp + amp + h,Nucleotide Salvage Pathway,PAS_chr2-2_0162,
ADNt2,adenosine transport in via proton symport,adn[e] + h[e] --> adn[c] + h[c],"Transport, Extracellular",PAS_chr2-1_0257,
ADPT,adenine phosphoribosyltransferase,[c] : ade + prpp --> amp + ppi,Nucleotide Salvage Pathway,PAS_chr3_1138,
ADSK,adenylyl-sulfate kinase,[c] : aps + atp --> adp + h + paps,Cysteine Metabolism,PAS_chr3_0667,
ADSL1r,adenylsuccinate lyase,[c] : dcamp <==> amp + fum,Purine and Pyrimidine Biosynthesis,PAS_chr2-2_0329,
ADSL2r,adenylosuccinate lyase,[c] : 25aics <==> aicar + fum,Purine and Pyrimidine Biosynthesis,PAS_chr2-2_0329,
ADSS,adenylosuccinate synthase,[c] : asp-L + gtp + imp --> dcamp + gdp + (2) h + pi,Purine and Pyrimidine Biosynthesis,PAS_chr4_0613,
AGAT_PP,"1-Acyl-glycerol-3-phosphate acyltransferase, yeast-specific",[c] : 1ag3p_PP + (0.16654) pmtcoa + (0.05956) hdcoa + (0.03292) stcoa + (0.33054) odecoa + (0.41044) ocdycacoa --> coa + pa_PP,Phospholipid Biosynthesis,PAS_chr1-3_0156,
AGPRim,"N-acetyl-g-glutamyl-phosphate reductase, irreversible, mitochondrial",[m] : acg5p + h + nadph --> acg5sa + nadp + pi,Arginine and Proline Metabolism,PAS_chr2-1_0168,
AGTi,Alanine glyoxylate aminotransferase (irreversible),[c] : ala-L + glx --> gly + pyr,Glycine and Serine Metabolism,PAS_chr4_0416,
AHCi,adenosylhomocysteinase,[c] : ahcys + h2o --> adn + hcys-L,Methionine Metabolism,PAS_chr3_0890,
AHCYStm,"S-adenosyl-L-homocysteine reversible transport, mitochondrial",ahcys[c] <==> ahcys[m],"Transport, Mitochondrial",NA,
AHSERL,O-acetylhomoserine (thiol)-lyase,[c] : achms + ch4s --> ac + h + met-L,Methionine Metabolism,PAS_chr4_0330,
AHSERL2,O-acetylhomoserine (thiol)-lyase,[c] : achms + h2s --> ac + h + hcys-L,Methionine Metabolism,PAS_chr4_0330,
AICART,phosphoribosylaminoimidazolecarboxamide formyltransferase,[c] : 10fthf + aicar <==> fprica + thf,Purine and Pyrimidine Biosynthesis,PAS_chr2-1_0660,
AIRCr,phosphoribosylaminoimidazole carboxylase,[c] : air + co2 <==> 5aizc + h,Purine and Pyrimidine Biosynthesis,PAS_chr3_0085,
AKGDam,oxoglutarate dehydrogenase (lipoamide),[m] : akg + h + lpam <==> co2 + sdhlam,Citric Acid Cycle,"PAS_chr2-1_0089, PAS_chr2-2_0048, PAS_chr1-3_0094",
AKGDbm,oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase),[m] : coa + sdhlam --> dhlam + succoa,Citric Acid Cycle,"PAS_chr2-1_0089, PAS_chr2-2_0048, PAS_chr1-3_0094",
AKGMAL,alpha-ketoglutarate/malate transporter,akg[c] + mal-L[e] <==> akg[e] + mal-L[c],"Transport, Extracellular",NA,
AKGt2r,2-oxoglutarate reversible transport via symport,akg[e] + h[e] <==> akg[c] + h[c],"Transport, Extracellular",NA,
AKP1,alkaline phosphatase (Dihydroneopterin),[c] : ahdt + (3) h2o --> dhnpt + (2) h + (3) pi,Folate Metabolism,PAS_chr2-2_0084,
ALADO,D-alanine oxidase,[c] : ala-D + h2o + o2 <==> pyr + nh4 + h2o2,Other,NA,[8]
ALADt2r,D-alanine reversible transport via proton symport,ala-D[e] + h[e] <==> ala-D[c] + h[c],"Transport, Extracellular",NA,
ALASm,5-aminolevulinate synthase,[m] : gly + h + succoa --> 5aop + co2 + coa,Porphyrin and Chlorophyll Metabolism,PAS_chr2-1_0716,
ALAt2r,L-alanine reversible transport via proton symport,ala-L[e] + h[e] <==> ala-L[c] + h[c],"Transport, Extracellular","PAS_chr4_0287, PAS_chr1-4_0479, PAS_chr2-1_0129, PAS_chr1-1_0030",
ALATA_L,L-alanine transaminase,[c] : akg + ala-L <==> glu-L + pyr,Alanine and Aspartate Metabolism,PAS_chr3_0482,
ALATA_Lm,"L-alanine transaminase, mitochondrial",[m] : akg + ala-L <==> glu-L + pyr,Alanine and Aspartate Metabolism,PAS_chr3_0482,
ALAtmi,Alanine transport from mitochondia to cytoplasm,ala-L[m] --> ala-L[c],"Transport, Mitochondrial",NA,
ALATRS,Alanyl-tRNA synthetase,[c] : ala-L + atp + trnaala --> alatrna + amp + ppi,tRNA charging,PAS_chr3_0462,
ALCD19y,"alcohol dehydrogenase (glycerol, NADP)",[c] : glyald + h + nadph --> glyc + nadp,Glycerolipid Metabolism,"PAS_chr3_0744, PAS_chr1-1_0360",
ALCD22xi,"aldehyde dehydrogenase (2-methylbutanol, NAD)",[c] : 2mbald + h + nadh --> 2mbtoh + nad,Complex Alcohol Metabolism,"PAS_chr2-1_0472, PAS_chr3_1028",
ALCD22xim,"aldehyde dehydrogenase (2-methylbutanol, NAD), mitochondrial",[m] : 2mbald + h + nadh --> 2mbtoh + nad,Complex Alcohol Metabolism,PAS_chr2-1_0472,
ALCD22yi,"aldehyde dehydrogenase (2-methylbutanol, NADP)",[c] : 2mbald + h + nadph --> 2mbtoh + nadp,Complex Alcohol Metabolism,"PAS_chr1-1_0360, PAS_chr4_0576",
ALCD23xi,"aldehyde dehydrogenase (isobutyl alcohol, NAD)",[c] : 2mppal + h + nadh --> ibutoh + nad,Complex Alcohol Metabolism,"PAS_chr2-1_0472, PAS_chr3_1028",
ALCD23xim,"aldehyde dehydrogenase (isobutyl alcohol, NAD), mitochondrial",[m] : 2mppal + h + nadh --> ibutoh + nad,Complex Alcohol Metabolism,PAS_chr2-1_0472,
ALCD23yi,"aldehyde dehydrogenase (isobutyl alcohol, NADP)",[c] : 2mppal + h + nadph --> ibutoh + nadp,Complex Alcohol Metabolism,PAS_chr4_0576,
ALCD24xi,"aldehyde dehydrogenase (isoamyl alcohol, NAD)",[c] : 3mbald + h + nadh --> iamoh + nad,Complex Alcohol Metabolism,"PAS_chr2-1_0472, PAS_chr3_1028",
ALCD24xim,"aldehyde dehydrogenase (isoamyl alcohol, NAD), mitochondrial",[m] : 3mbald + h + nadh --> iamoh + nad,Complex Alcohol Metabolism,PAS_chr2-1_0472,
ALCD24yi,"aldehyde dehydrogenase (isoamyl alcohol, NADP)",[c] : 3mbald + h + nadph --> iamoh + nadp,Complex Alcohol Metabolism,PAS_chr4_0576,
ALCD25xi,"aldehyde dehydrogenase (2-phenylethanol, NAD)",[c] : h + nadh + pacald --> 2phetoh + nad,Complex Alcohol Metabolism,"PAS_chr2-1_0472, PAS_chr3_1028",
ALCD25xim,"aldehyde dehydrogenase (2-phenylethanol, NAD), mitochondrial",[m] : h + nadh + pacald --> 2phetoh + nad,Complex Alcohol Metabolism,PAS_chr2-1_0472,
ALCD25yi,"aldehyde dehydrogenase (2-phenylethanol, NADP)",[c] : h + nadph + pacald --> 2phetoh + nadp,Complex Alcohol Metabolism,PAS_chr4_0576,
ALCD26xi,"aldehyde dehydrogenase (tryptophol, NAD)",[c] : h + id3acald + nadh --> ind3eth + nad,Complex Alcohol Metabolism,"PAS_chr2-1_0472, PAS_chr3_1028",
ALCD26xim,"aldehyde dehydrogenase (tryptophol, NAD), mitochondrial",[m] : h + id3acald + nadh --> ind3eth + nad,Complex Alcohol Metabolism,PAS_chr2-1_0472,
ALCD2if,"alcohol dehydrogenase, forward rxn (ethanol -> acetaldehyde)",[c] : etoh + nad --> acald + h + nadh,Pyruvate Metabolism,PAS_chr2-1_0472,
ALCD2ir,"alcohol dehydrogenase, reverse rxn (acetaldehyde -> ethanol)",[c] : acald + h + nadh --> etoh + nad,Pyruvate Metabolism,PAS_chr2-1_0472,
ALCD2irm,"alcohol dehydrogenase, reverse rxn (acetaldehyde -> ethanol), mitochondrial",[m] : acald + h + nadh --> etoh + nad,Pyruvate Metabolism,PAS_chr2-1_0472,
ALCD2x,alcohol dehydrogenase (ethanol),[c] : etoh + nad <==> acald + h + nadh,Pyruvate Metabolism,PAS_chr3_1028,
ALDD19x,"aldehyde dehydrogenase (phenylacetaldehyde, NAD)",[c] : h2o + nad + pacald --> (2) h + nadh + pac,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",PAS_chr2-1_0453,
ALDD20xm,"aldehyde dehydrogenase (indole-3-acetaldehyde, NAD), mitochondrial",[m] : h2o + id3acald + nad --> (2) h + ind3ac + nadh,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","PAS_chr2-1_0506, PAS_chr3_0987, PAS_chr4_0043, PAS_chr4_0470",
ALDD20y,"aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)",[c] : h2o + id3acald + nadp --> (2) h + ind3ac + nadph,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","PAS_chr2-1_0506, PAS_chr3_0987, PAS_chr4_0043, PAS_chr4_0470",
ALDD20ym,"aldehyde dehydrogenase (indole-3-acetaldehyde, NADP), mitochondrial",[m] : h2o + id3acald + nadp --> (2) h + ind3ac + nadph,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","PAS_chr2-1_0506, PAS_chr3_0987, PAS_chr4_0043, PAS_chr4_0470",
ALDD22x,"aldehyde dehydrogenase (3-aminopropanal, NAD)",[c] : aproa + h2o + nad --> ala-B + (2) h + nadh,Pantothenate and CoA Biosynthesis,PAS_chr2-1_0453,
ALDD2xm,"aldehyde dehydrogenase (acetylaldehyde, NAD), mitochondrial",[m] : acald + h2o + nad --> ac + (2) h + nadh,Pyruvate Metabolism,"PAS_chr2-1_0506, PAS_chr3_0987, PAS_chr4_0043, PAS_chr4_0470",
ALDD2y,"aldehyde dehydrogenase (acetaldehyde, NADP)",[c] : acald + h2o + nadp --> ac + (2) h + nadph,Pyruvate Metabolism,"PAS_chr2-1_0506, PAS_chr3_0987, PAS_chr4_0043, PAS_chr4_0470",
